"Group","Condition","Polarity","Response","subject.ID","gender","age","exp","trial","item.typ","obj.loc","character","verb","Greek.sentence","English.translation"
"Child","AI","Positive","1 strawberry","C15","male","5.2","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Child","AI","Positive","3 strawberries","C15","male","5.2","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Child","AI","Negative","1 strawberry","C15","male","5.2","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Child","AI","Negative","1 strawberry","C15","male","5.2","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Child","AI","Negative","1 strawberry","C16","female","5.11","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Child","AI","Positive","3 strawberries","C16","female","5.11","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Child","AI","Positive","3 strawberries","C16","female","5.11","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Child","AI","Positive","3 strawberries","C16","female","5.11","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Child","AI","Negative","1 strawberry","C16","female","5.11","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Child","AI","Negative","1 strawberry","C16","female","5.11","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Child","AI","Negative","1 strawberry","C18","male","5.6","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Child","AI","Positive","3 strawberries","C18","male","5.6","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Child","AI","Positive","3 strawberries","C18","male","5.6","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Child","AI","Positive","3 strawberries","C18","male","5.6","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Child","AI","Negative","1 strawberry","C18","male","5.6","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Child","AI","Negative","1 strawberry","C18","male","5.6","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Child","AI","Negative","2 strawberries","C19","female","5.3","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Child","AI","Positive","3 strawberries","C19","female","5.3","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Child","AI","Positive","3 strawberries","C19","female","5.3","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Child","AI","Positive","3 strawberries","C19","female","5.3","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Child","AI","Negative","2 strawberries","C19","female","5.3","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
"Child","AI","Negative","1 strawberry","C19","female","5.3","MPL","14","MPL_TST_NEG","L","Kangaroo","put/spread","Tou kangouro den tou epasan alevria.","Kangaroo didnâ€™t spread flours."
"Child","AI","Negative","1 strawberry","C20","female","5.1","MPL","1","MPL_TST_NEG","R","Lion","buy","To liontaraki den agorase kreata.","Lion didnâ€™t buy meat."
"Child","AI","Positive","3 strawberries","C20","female","5.1","MPL","4","MPL_TST_POS","R","Bunny","buy","To kunelaki agorase psomia.","Bunny bought breads."
"Child","AI","Positive","3 strawberries","C20","female","5.1","MPL","9","MPL_TST_POS","L","Zebra","put/spread","Tis zebras tis epasan zahares.","Zebra spread waters."
"Child","AI","Positive","3 strawberries","C20","female","5.1","MPL","10","MPL_TST_POS","R","Tiger","take","I tigri pire nera.","Tiger took waters."
"Child","AI","Negative","1 strawberry","C20","female","5.1","MPL","13","MPL_TST_NEG","R","Frog","take","O vatrahos pire hionia.","Frog didnâ€™t take snows."
